iter	Passed	Remaining
0	724	723738
1	1160	579184
2	1679	558031
3	2124	528987
4	2556	508742
5	3006	498014
6	3436	487446
7	3986	494345
8	4441	489010
9	5035	498479
10	5538	497975
11	6040	497345
12	6638	504046
13	7153	503792
14	7755	509269
15	8560	526483
16	9225	533436
17	9941	542385
18	10481	541168
19	11082	543039
20	11663	543746
21	12344	548781
22	13118	557264
23	13701	557177
24	14379	560811
25	15005	562132
26	15556	560608
27	16230	563421
28	16825	563373
29	17561	567832
30	18204	569031
31	18748	567141
32	19384	568011
33	20133	572026
34	20796	573376
35	21466	574822
36	22264	579481
37	22921	580284
38	23489	578810
39	23789	570955
40	24524	573630
41	25023	570764
42	25910	576651
43	26577	577458
44	27055	574174
45	27632	573074
46	28403	575925
47	28984	574853
48	29654	575534
49	29907	568244
50	30537	568242
51	31168	568234
52	31744	567204
53	32306	565959
54	33030	567524
55	33593	566294
56	34354	568355
57	35043	569154
58	35781	570687
59	36312	568894
60	36847	567207
61	37490	567200
62	39820	592250
63	40459	591712
64	41149	591916
65	41927	593332
66	42646	593862
67	43322	593779
68	44124	595356
69	44852	595897
70	45511	595500
71	46195	595412
72	46822	594582
73	47517	594608
74	48001	592017
75	48778	593038
76	49312	591107
77	48105	568631
78	50697	591041
79	51300	589958
80	51941	589309
81	52612	589002
82	53361	589550
83	53944	588254
84	52764	567996
85	53412	567657
86	55967	587332
87	56749	588130
88	57404	587586
89	58130	587758
90	58885	588205
91	59403	586290
92	60046	585618
93	60813	586139
94	61427	585181
95	62168	585417
96	62835	584953
97	63292	582545
98	63958	582087
99	64453	580083
100	65011	578663
101	65723	578628
102	66440	578616
103	67230	579212
104	67878	578583
105	68531	577988
106	69210	577615
107	69942	577677
108	70634	577384
109	71307	576941
110	69992	560566
111	70640	560076
112	71364	560181
113	73916	574470
114	74510	573408
115	73312	558688
116	75834	572326
117	76579	572400
118	77272	572078
119	78112	572827
120	78848	572792
121	79425	571604
122	80133	571357
123	80788	570733
124	81606	571248
125	82293	570830
126	83052	570901
127	83841	571173
128	84706	571929
129	85349	571185
130	85917	569943
131	86613	569550
132	87143	568073
133	87771	567241
134	88453	566760
135	89123	566195
136	89615	564513
137	90517	565409
138	91327	565707
